0
100.7660
101.1788
240
80.4680
87.6842
88.5354
89.1600
89.9937
90.7177
91.0368
94.6320
97.6769
AJ Hammons
AJ Price
Aaron Brooks
Aaron Craft
Aaron Gordon
Aaron Gray
Aaron Harrison
Aaron Holiday
Aaron Jackson
Abdel Nader
Abdul Gaddy
Adonis Thomas
Adreian Payne
Al Harrington
Al Horford
Al Jefferson
Al-Farouq Aminu
Alan Anderson
Alan Williams
Alec Burks
Alec Peters
Alex Abrines
Alex Caruso
Alex Kirk
Alex Len
Alex Poythress
Alex Stepheson
Alexey Shved
Alexis Ajinca
Alfonzo McKinnie
Alize Johnson
Allen Crabbe
Allonzo Trier
Alonzo Gee
Amar'e Stoudemire
Amile Jefferson
Amir Johnson
Anderson Varejao
Andray Blatche
Andre Dawkins
Andre Drummond
Andre Emmett
Andre Iguodala
Andre Ingram
Andre Miller
Andre Roberson
Andrea Bargnani
Andrei Kirilenko
Andres Nocioni
Andrew Andrews
Andrew Bogut
Andrew Bynum
Andrew Goudelock
Andrew Harrison
Andrew Nicholson
Andrew White III
Andrew Wiggins
Andris Biedrins
Andy Rautins
Anfernee Simons
Angel Delgado
Antawn Jamison
Ante Zizic
Anthony Bennett
Anthony Brown
Anthony Carter
Anthony Davis
Anthony Morrow
Anthony Parker
Anthony Randolph
Anthony Tolliver
Antonio Blakeney
Antonius Cleveland
Archie Goodwin
Arinze Onuaku
Armon Johnson
Arnett Moultrie
Aron Baynes
Arron Afflalo
Arsalan Kazemi
Austin Daye
Austin Rivers
Avery Bradley
Axel Toupane
BJ Johnson
Bam Adebayo
Baron Davis
Ben Bentil
Ben Gordon
Ben Hansbrough
Ben McLemore
Ben Moore
Ben Simmons
Ben Uzoh
Ben Wallace
Beno Udrih
Bernard James
Billy Garrett
Billy Preston
Bismack Biyombo
Blake Ahearn
Blake Griffin
Bo McCalebb
Boban Marjanovic
Bobby Brown
Bobby Portis
Bobby Simmons
Bogdan Bogdanovic
Bojan Bogdanovic
Bonzie Colson
Boris Diaw
Brad Miller
Brad Wanamaker
Bradley Beal
Brandan Wright
Branden Dawson
Brandon Ashley
Brandon Bass
Brandon Davies
Brandon Goodwin
Brandon Ingram
Brandon Jennings
Brandon Knight
Brandon McCoy
Brandon Paul
Brandon Roy
Brandon Rush
Brandon Sampson
Brendan Haywood
Brian Cardinal
Brian Cook
Brian Roberts
Brian Scalabrine
Briante Weber
Brice Johnson
Brook Lopez
Bruce Brown
Bruno Caboclo
Bryce Cotton
Bryce Dejean-Jones
Bryn Forbes
Buddy Hield
Byron Mullens
C.J. Watson
C.J. Williams
CJ Fair
CJ McCollum
CJ Miles
CJ Wilcox
Cai Liang
Caleb Swanigan
Cameron Bairstow
Cameron Jones
Cameron Payne
Cameron Reynolds
Caris LeVert
Carl Landry
Carldell Johnson
Carlos Boozer
Carlos Delfino
Carmelo Anthony
Caron Butler
Carrick Felix
Cartier Martin
Casper Ware
Cedi Osman
Chandler Hutchison
Chandler Parsons
Channing Frye
Charles Cooke
Charles Jenkins
Charlie Villanueva
Chase Budinger
Chasson Randle
Chauncey Billups
Cheick Diallo
Chimezie Metu
Chinanu Onuaku
Chris Andersen
Chris Babb
Chris Bosh
Chris Boucher
Chris Chiozza
Chris Copeland
Chris Crawford
Chris Daniels
Chris Douglas-Roberts
Chris Duhon
Chris Johnson
Chris Kaman
Chris McCullough
Chris Paul
Chris Quinn
Chris Singleton
Chris Smith
Chris Walker
Chris Wilcox
Chris Wright
Christian Eyenga
Christian Wood
Chuck Hayes
Cleanthony Early
Cliff Alexander
Clint Capela
Cody Demps
Cody Zeller
Cole Aldrich
Collin Sexton
Corey Brewer
Corey Maggette
Corey Webster
Cory Higgins
Cory Jefferson
Cory Joseph
Coty Clarke
Courtney Fortson
Courtney Lee
Craig Brackins
Craig Smith
Cristiano Felicio
D'Angelo Russell
D'Vauntes Smith-Rivera
D.J. Augustin
D.J. Kennedy
D.J. Wilson
DJ Stephens
DJ White
DaJuan Summers
Daequan Cook
Dahntay Jones
Dairis Bertans
Dakari Johnson
Damian Jones
Damian Lillard
Damien Inglis
Damien Wilkins
Damion James
Damion Lee
Damjan Rudez
Damyean Dotson
Dan Gadzuric
Daniel Gibson
Daniel Hamilton
Daniel Ochefu
Daniel Orton
Daniel Theis
Danilo Gallinari
Danny Granger
Danny Green
Dante Cunningham
Dante Exum
Danuel House Jr.
Darington Hobson
Dario Saric
Darius Johnson-Odom
Darius Miller
Darius Morris
Darko Milicic
Darrell Arthur
Darren Collison
Darrun Hilliard
Darryl Watkins
Daryl Macon
David Lee
David Nwaba
David Stockton
David Wear
David West
Davis Bertans
Davon Reed
De'Aaron Fox
De'Anthony Melton
DeAndre Jordan
DeAndre Liggins
DeAndre' Bembry
DeJuan Blair
DeMar DeRozan
DeMarcus Cousins
DeMarre Carroll
DeQuan Jones
DeSagana Diop
DeShawn Stevenson
DeVaughn Akoon-Purcell
Deandre Ayton
Dejounte Murray
Delon Wright
Delonte West
Demetrius Jackson
Deng Adel
Dennis Horner
Dennis Schroder
Dennis Smith Jr.
Denzel Livingston
Denzel Valentine
Deonte Burton
Derek Fisher
Deron Williams
Derrick Brown
Derrick Byars
Derrick Favors
Derrick Jones Jr.
Derrick Rose
Derrick Walton Jr.
Derrick White
Derrick Williams
Deshaun Thomas
Devin Booker
Devin Ebanks
Devin Harris
Devin Robinson
Devin Sweetney
Devonte' Graham
Devyn Marble
Dewayne Dedmon
Dexter Pittman
Deyonta Davis
Diamond Stone
Diante Garrett
Dillon Brooks
Dion Waiters
Dionte Christmas
Dirk Nowitzki
Domantas Sabonis
Dominic McGuire
Dominique Jones
Donald Sloan
Donatas Motiejunas
Donovan Mitchell
Donte DiVincenzo
Donte Grantham
Donte Greene
Dorell Wright
Dorian Finney-Smith
Doron Lamb
Doug McDermott
Dragan Bender
Draymond Green
Drew Crawford
Drew Eubanks
Drew Gooden
Drew Gordon
Duje Dukan
Duncan Robinson
Dusty Hannahs
Dwayne Bacon
Dwayne Jones
Dwight Buycks
Dwight Howard
Dwight Powell
Dwyane Wade
Dzanan Musa
E'Twaun Moore
Earl Barron
Earl Boykins
Earl Clark
Earl Watson
Ed Davis
Eddy Curry
Edmond Sumner
Eduardo Najera
