,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0,,,,,,,,,,,,,,,,,,,,
1,100.7660,,,,,,,,,,,,,,,,,,,,
2,101.1788,,,,,,,,,,,,,,,,,,,,
3,240,,,,,,,,,,,,,,,,,,,,
4,80.4680,,,,,,,,,,,,,,,,,,,,
5,87.6842,,,,,,,,,,,,,,,,,,,,
6,88.5354,,,,,,,,,,,,,,,,,,,,
7,89.1600,,,,,,,,,,,,,,,,,,,,
8,89.9937,,,,,,,,,,,,,,,,,,,,
9,90.7177,,,,,,,,,,,,,,,,,,,,
10,91.0368,225.0,27.0,91.0368,,,,,,,,,,,,,,,,,
11,94.6320,,,,,,,,,,,,,,,,,,,,
12,97.6769,,,,,,,,,,,,,,,,,,,,
447,Hakim Warrick,7.8,1.1,2.8,0.3025,0.0,0.1,0.0,1.7,2.4,0.6,0.8,1.3,2.1,0.2,0.2,0.1,0.9,0.5,3.9,-3.8
448,Hamady Ndiaye,6.111111111111111,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,1.3333333333333333,1.7777777777777777,0.2222222222222222,0.0,0.4444444444444444,0.2222222222222222,1.5555555555555556,0.6666666666666666,-5.222222222222222
449,Hamed Haddadi,1.3,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.3,0.2,0.6
450,Hamidou Diallo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,Harrison Barnes,16.6,2.4,5.1,0.33890000000000003,0.5,1.3,0.25830000000000003,0.8,1.1,0.325,0.3,1.9,2.2,1.1,0.3,0.1,0.8,1.4,6.1,-1.0
452,Harry Giles III,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0
453,Hasheem Thabeet,3.7,0.5,0.6,0.3,0.0,0.0,0.0,0.1,0.4,0.05,0.2,0.6,0.8,0.0,0.0,0.2,0.4,0.9,1.1,0.4
454,Hassan Whiteside,4.7,0.8,1.6,0.1833,0.0,0.0,0.0,0.1,0.2,0.05,1.0,1.2,2.2,0.1,0.2,1.0,0.5,1.0,1.7,-0.3
455,Haywood Highsmith,9.5,1.0,2.5,0.4165,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.5,0.5,2.0,-7.0
456,Hedo Turkoglu,4.8,0.2,1.4,0.05329999999999999,0.1,1.2,0.033299999999999996,0.0,0.0,0.0,0.1,1.1,1.2,0.6,0.3,0.1,0.1,0.5,0.5,-0.4
457,Henry Ellenson,2.3,0.3,1.3,0.09159999999999999,0.1,0.8,0.033299999999999996,0.2,0.2,0.2,0.0,0.2,0.2,0.1,0.1,0.0,0.3,0.0,0.9,0.6
458,Henry Sims,6.3,1.0,1.9,0.22999999999999998,0.0,0.1,0.0,0.6,0.8,0.25,0.3,1.0,1.3,0.2,0.1,0.2,0.5,1.2,2.6,0.7
459,Henry Walker,12.7,1.4,3.5,0.4165,0.7,2.1,0.23500000000000001,0.7,0.7,0.3,0.1,1.7,1.8,0.8,0.3,0.4,0.6,1.5,4.2,1.0
460,Hilton Armstrong,2.3,0.3,0.8,0.13999999999999999,0.0,0.1,0.0,0.2,0.4,0.05,0.6,0.4,1.0,0.4,0.1,0.2,0.6,0.6,0.8,-1.4
461,Hollis Thompson,10.4,1.7,3.5,0.23770000000000002,1.0,1.8,0.35,0.2,0.2,0.1,0.6,1.1,1.7,0.4,0.1,0.1,0.4,0.4,4.6,-1.1
462,Ian Clark,5.1,0.7,1.5,0.265,0.3,0.7,0.2333,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.0,0.0,0.3,0.4,1.7,-0.5
463,Ian Mahinmi,3.6,0.4,0.5,0.16670000000000001,0.0,0.0,0.0,0.2,0.4,0.15,0.3,0.4,0.7,0.1,0.0,0.1,0.0,0.5,1.0,-1.2
464,Ike Anigbogu,,,,,,,,,,,,,,,,,,,,
465,Ike Iroegbu,,,,,,,,,,,,,,,,,,,,
466,Iman Shumpert,13.7,1.5,3.1,0.2684,0.3,0.9,0.175,0.2,0.4,0.1,0.3,1.1,1.4,1.1,0.7,0.0,0.8,1.4,3.5,-0.4
467,Isaac Bonga,5.3,0.3,1.6,0.15,0.0,0.4,0.0,0.3,0.6,0.1,0.4,0.8,1.2,0.6,0.5,0.3,0.0,0.4,0.9,2.6
468,Isaac Humphries,13.25,1.25,5.0,0.22199999999999998,0.75,2.75,0.20825,0.0,0.0,0.0,0.75,1.75,2.5,0.0,0.25,0.0,0.0,1.5,3.25,-5.0
469,Isaiah Briscoe,,,,,,,,,,,,,,,,,,,,
470,Isaiah Canaan,3.4,0.3,1.0,0.075,0.1,0.6,0.025,0.2,0.2,0.1,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.3,0.9,-2.5
471,Isaiah Hartenstein,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
472,Isaiah Hicks,9.333333333333334,1.3333333333333333,2.6666666666666665,0.19033333333333335,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,3.6666666666666665,-2.0
473,Isaiah Taylor,12.25,0.25,1.75,0.08324999999999999,0.0,0.5,0.0,0.25,0.5,0.125,0.25,0.5,0.75,0.75,0.25,0.25,0.0,1.25,0.75,-3.5
474,Isaiah Thomas,6.5,1.4,3.4,0.12410000000000002,0.6,1.7,0.10710000000000001,0.7,0.8,0.25,0.0,0.6,0.6,1.2,0.1,0.0,0.2,0.7,4.1,0.0
475,Isaiah Whitehead,15.5,2.5,6.0,0.49540000000000006,0.8,2.5,0.25830000000000003,1.7,2.1,0.55,0.2,1.5,1.7,1.3,0.4,0.3,2.0,2.3,7.5,-1.3
476,Ish Smith,4.2,0.7,1.2,0.2071,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.6,0.0,0.1,0.4,0.4,1.4,-0.1
477,Ivan Johnson,1.2,0.2,0.6,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.4,-0.6
478,Ivan Rabb,20.6,2.8,6.5,0.4467,0.1,0.5,0.05,1.1,1.6,0.5083,1.9,3.7,5.6,1.5,0.7,0.4,1.0,3.1,6.8,-3.2
479,Ivica Zubac,7.0,1.3,2.9,0.30379999999999996,0.0,0.0,0.0,0.3,0.5,0.15,0.4,1.8,2.2,0.4,0.1,0.5,0.3,0.7,2.9,-0.3
480,J.J. Barea,6.5,1.5,3.1,0.20060000000000003,0.5,1.0,0.225,0.1,0.1,0.1,0.4,0.4,0.8,1.6,0.3,0.0,0.3,0.4,3.6,1.3
481,J.P. Macura,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0
482,JJ Hickson,2.9,0.7,1.4,0.1867,0.0,0.0,0.0,0.4,1.1,0.1583,0.7,0.8,1.5,0.1,0.1,0.0,0.1,0.4,1.8,-0.8
483,JJ O'Brien,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-4.0
484,JJ Redick,11.2,1.9,3.9,0.2403,0.6,1.8,0.14329999999999998,1.0,1.2,0.2667,0.2,0.6,0.8,1.1,0.2,0.0,0.5,1.1,5.4,-0.5
485,JP Tokoto,16.0,2.0,4.0,0.5,0.0,0.3333333333333333,0.0,2.0,3.3333333333333335,0.389,0.6666666666666666,0.3333333333333333,1.0,1.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,6.0,12.333333333333334
486,JR Smith,3.2,0.2,0.6,0.04,0.0,0.1,0.0,0.1,0.2,0.05,0.0,0.2,0.2,0.2,0.1,0.0,0.3,0.1,0.5,0.3
487,JaJuan Johnson,0.7,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.0,0.1,0.1,0.4,0.3
488,JaKarr Sampson,6.6,1.1,2.2,0.3167,0.2,0.6,0.1,0.0,0.4,0.0,0.0,0.9,0.9,0.4,0.1,0.1,0.3,1.1,2.4,-2.5
489,JaMychal Green,2.0,0.3,0.6,0.1,0.0,0.0,0.0,0.5,0.6,0.25,0.2,0.4,0.6,0.1,0.0,0.0,0.1,0.2,1.1,1.0
