,opptAbbr,rslt,opptMin,opptFGM,opptFGA,opptFG,oppt3PM,oppt3PA,oppt3PCT,opptFTM,opptFTA,opptFTC,opptORB,opptDRB,opptREB,opptAST,opptSTL,opptBLK,opptTO,opptPF,oppt2P,opptTS,opptEFG,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptPlay
0,ATL,77.77777777777779,240.0,38.55555555555556,88.44444444444444,0.43555555555555553,11.666666666666666,34.55555555555556,0.3267777777777778,18.77777777777778,24.555555555555557,0.7647777777777778,9.666666666666666,32.666666666666664,42.333333333333336,24.22222222222222,7.777777777777778,3.4444444444444446,14.333333333333334,21.555555555555557,26.88888888888889,0.5425666666666668,0.5004444444444444,1.2203666666666666,76.51388888888889,63.76156666666667,106.87482222222222,113.8001888888889,0.41298888888888885
1,BKN,55.55555555555556,245.55555555555554,39.888888888888886,91.88888888888889,0.43277777777777776,12.222222222222221,35.888888888888886,0.33677777777777784,20.555555555555557,27.11111111111111,0.7651111111111112,11.88888888888889,33.888888888888886,45.77777777777778,21.88888888888889,6.555555555555555,2.888888888888889,14.0,21.11111111111111,27.666666666666668,0.5394666666666666,0.4985444444444444,1.2197111111111112,77.55555555555556,63.05314444444444,108.5871,115.85987777777775,0.4244777777777778
2,BOS,77.77777777777779,240.0,40.77777777777778,86.33333333333333,0.4716666666666667,10.88888888888889,29.0,0.37611111111111106,17.0,22.555555555555557,0.738111111111111,7.777777777777778,37.77777777777778,45.55555555555556,22.88888888888889,6.888888888888889,4.888888888888889,11.666666666666666,20.555555555555557,29.88888888888889,0.5693444444444444,0.5348666666666667,1.2713777777777777,85.06944444444444,70.89118888888889,110.4418,105.35907777777777,0.4513888888888889
3,CHA,55.55555555555556,240.0,36.888888888888886,86.77777777777777,0.4265555555555556,11.11111111111111,32.44444444444444,0.32122222222222224,17.333333333333332,21.333333333333332,0.8036666666666666,9.444444444444445,30.11111111111111,39.55555555555556,23.444444444444443,9.777777777777779,3.5555555555555554,10.0,14.444444444444445,25.77777777777778,0.5330333333333334,0.4910333333333333,1.180411111111111,80.72222222222223,67.26851111111111,109.25096666666667,116.14201111111113,0.4230333333333334
4,CHI,55.55555555555556,240.0,41.55555555555556,88.88888888888889,0.4683333333333333,8.0,23.22222222222222,0.3392222222222222,14.88888888888889,18.11111111111111,0.8203333333333332,10.555555555555555,36.666666666666664,47.22222222222222,22.0,7.888888888888889,4.666666666666667,14.0,18.333333333333332,33.55555555555556,0.5486444444444446,0.5137222222222222,1.1957111111111114,81.98611111111111,68.32177777777777,107.4443888888889,109.08768888888888,0.4509000000000001
5,CLE,77.77777777777779,242.77777777777777,42.111111111111114,91.44444444444444,0.46177777777777773,10.666666666666666,31.11111111111111,0.3351111111111111,16.22222222222222,20.88888888888889,0.7623333333333333,12.222222222222221,33.44444444444444,45.666666666666664,18.88888888888889,6.888888888888889,2.888888888888889,12.555555555555555,18.666666666666668,31.444444444444443,0.5540666666666667,0.5210222222222222,1.218811111111111,78.77777777777777,64.9537,111.89439999999999,120.15755555555558,0.4593555555555555
6,DAL,55.55555555555556,242.77777777777777,38.55555555555556,89.0,0.43422222222222223,13.777777777777779,40.888888888888886,0.33322222222222225,16.444444444444443,22.11111111111111,0.7360000000000001,10.11111111111111,35.666666666666664,45.77777777777778,25.11111111111111,5.222222222222222,3.4444444444444446,10.333333333333334,21.555555555555557,24.77777777777778,0.5444999999999999,0.511888888888889,1.211211111111111,81.81944444444444,67.25476666666667,110.44687777777777,111.60992222222222,0.4328
7,DEN,77.77777777777779,240.0,39.666666666666664,89.66666666666667,0.4442222222222222,10.333333333333334,28.666666666666668,0.35444444444444445,14.11111111111111,18.444444444444443,0.7662222222222224,9.88888888888889,29.0,38.888888888888886,25.11111111111111,7.444444444444445,3.111111111111111,11.333333333333334,20.555555555555557,29.333333333333332,0.5335777777777778,0.5025555555555555,1.1620444444444444,75.30555555555556,62.754622222222224,110.13306666666666,121.45105555555554,0.43737777777777775
8,DET,77.77777777777779,240.0,37.888888888888886,89.44444444444444,0.4265555555555556,12.777777777777779,35.44444444444444,0.361,16.77777777777778,20.666666666666668,0.8066666666666668,11.222222222222221,30.77777777777778,42.0,22.444444444444443,7.222222222222222,3.888888888888889,10.555555555555555,21.444444444444443,25.11111111111111,0.5376111111111112,0.4989111111111111,1.1898111111111112,77.08333333333333,64.23611111111111,110.76046666666666,115.77054444444444,0.4294222222222222
9,EST,66.66666666666666,240.0,67.33333333333333,120.33333333333333,0.5576666666666666,16.666666666666668,47.333333333333336,0.35000000000000003,9.666666666666666,11.333333333333334,0.9206666666666666,12.333333333333334,38.666666666666664,51.0,40.666666666666664,12.333333333333334,1.3333333333333333,17.666666666666668,9.333333333333334,50.666666666666664,0.6415000000000001,0.6262666666666666,1.3373333333333333,139.83333333333334,116.52776666666666,124.03973333333333,125.57263333333333,0.5346666666666667
