,teamAbbr,rslt,teamMin,teamPTS,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptPTS,opptPTS1,opptPTS2,opptPTS3,opptPTS4,teamFGM,teamFGA,teamFG,team3PM,team3PA,team3PCT,teamFTM,teamFTA,teamFTC,teamORB,teamDRB,teamREB,teamAST,teamSTL,teamBLK,teamTO,teamPF,team2P,teamTS,teamEFG,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamPlay
0,ATL,66.66666666666666,242.77777777777777,118.88888888888889,30.88888888888889,32.22222222222222,26.88888888888889,27.333333333333332,118.33333333333333,34.22222222222222,27.444444444444443,28.77777777777778,26.444444444444443,43.55555555555556,95.22222222222223,0.45877777777777784,13.777777777777779,39.0,0.35200000000000004,18.0,24.11111111111111,0.7525555555555555,12.666666666666666,35.111111111111114,47.77777777777778,27.11111111111111,7.222222222222222,5.777777777777778,13.333333333333334,21.444444444444443,29.77777777777778,0.5623555555555555,0.530511111111111,1.252977777777778,93.48611111111111,76.77934444444445,114.38221111111112,113.9916888888889,0.4541111111111111
1,BKN,55.55555555555556,240.0,110.11111111111111,26.88888888888889,28.11111111111111,29.0,26.11111111111111,108.66666666666667,27.88888888888889,24.77777777777778,29.11111111111111,26.88888888888889,39.666666666666664,92.33333333333333,0.43100000000000005,11.88888888888889,38.22222222222222,0.3066666666666667,18.88888888888889,24.0,0.7904444444444443,11.333333333333334,37.44444444444444,48.77777777777778,22.11111111111111,8.11111111111111,3.888888888888889,14.777777777777779,19.444444444444443,27.77777777777778,0.5360777777777777,0.49476666666666663,1.1980555555555557,80.88888888888889,67.40741111111112,106.18632222222222,104.58194444444443,0.4143555555555556
2,BOS,66.66666666666666,240.0,104.33333333333333,27.11111111111111,25.11111111111111,26.444444444444443,25.666666666666668,103.55555555555556,26.88888888888889,25.555555555555557,26.88888888888889,24.22222222222222,38.888888888888886,86.77777777777777,0.4477777777777777,12.0,33.44444444444444,0.36200000000000004,14.555555555555555,17.666666666666668,0.8217777777777777,9.222222222222221,34.44444444444444,43.666666666666664,25.333333333333332,7.0,3.7777777777777777,12.333333333333334,18.22222222222222,26.88888888888889,0.5516555555555555,0.5168222222222222,1.2017333333333333,82.34722222222223,68.62267777777778,109.68348888888887,108.75273333333334,0.43218888888888896
3,CHA,55.55555555555556,242.77777777777777,114.66666666666667,26.666666666666668,28.666666666666668,28.11111111111111,29.11111111111111,115.22222222222223,30.333333333333332,31.0,28.11111111111111,24.666666666666668,40.888888888888886,88.33333333333333,0.46433333333333326,11.333333333333334,32.666666666666664,0.3406666666666667,21.555555555555557,26.22222222222222,0.8225555555555556,8.0,33.888888888888886,41.888888888888886,24.77777777777778,6.0,5.111111111111111,6.888888888888889,16.333333333333332,29.555555555555557,0.5756111111111111,0.5280111111111112,1.3048666666666664,92.83333333333333,76.45703333333333,118.6690111111111,119.72459999999998,0.4696666666666667
4,CHI,88.88888888888889,240.0,93.44444444444444,20.77777777777778,24.77777777777778,21.555555555555557,26.333333333333332,106.0,28.333333333333332,26.88888888888889,25.88888888888889,24.88888888888889,35.44444444444444,87.55555555555556,0.40444444444444444,6.666666666666667,23.333333333333332,0.27244444444444443,15.88888888888889,20.555555555555557,0.7834444444444445,12.11111111111111,36.0,48.111111111111114,18.77777777777778,6.666666666666667,3.6666666666666665,11.333333333333334,18.0,28.77777777777778,0.48360000000000003,0.44197777777777775,1.0693777777777778,67.95833333333333,56.63194444444444,99.6861888888889,113.37944444444446,0.40845555555555557
5,CLE,66.66666666666666,240.0,102.88888888888889,28.666666666666668,25.555555555555557,26.0,22.666666666666668,110.88888888888889,26.333333333333332,30.444444444444443,25.77777777777778,28.333333333333332,38.111111111111114,81.55555555555556,0.4672222222222222,10.777777777777779,31.555555555555557,0.3438888888888889,15.88888888888889,21.444444444444443,0.7455555555555555,8.0,30.88888888888889,38.888888888888886,21.333333333333332,6.555555555555555,3.3333333333333335,14.11111111111111,17.11111111111111,27.333333333333332,0.5654888888888889,0.5335444444444444,1.2647111111111111,73.40277777777777,61.168977777777776,107.8967777777778,116.51307777777778,0.4347888888888889
6,DAL,77.77777777777779,240.0,104.44444444444444,26.666666666666668,29.11111111111111,24.666666666666668,24.0,107.22222222222223,26.333333333333332,24.88888888888889,28.77777777777778,27.22222222222222,38.55555555555556,88.11111111111111,0.43722222222222223,11.555555555555555,36.22222222222222,0.31688888888888894,15.777777777777779,20.444444444444443,0.7607777777777777,10.222222222222221,35.55555555555556,45.77777777777778,25.666666666666668,5.444444444444445,4.888888888888889,12.0,18.333333333333332,27.0,0.5369,0.5030777777777778,1.1883555555555556,82.41666666666667,68.68054444444445,107.90415555555553,111.15306666666665,0.42852222222222225
7,DEN,77.77777777777779,240.0,105.55555555555556,25.333333333333332,28.88888888888889,24.444444444444443,26.88888888888889,97.77777777777777,23.555555555555557,25.88888888888889,24.666666666666668,23.666666666666668,39.888888888888886,86.11111111111111,0.46477777777777773,8.88888888888889,29.22222222222222,0.29877777777777775,16.88888888888889,22.444444444444443,0.7322222222222223,10.11111111111111,36.44444444444444,46.55555555555556,25.666666666666668,6.666666666666667,4.666666666666667,10.222222222222221,18.88888888888889,31.0,0.5519555555555555,0.5172555555555555,1.232677777777778,87.33333333333333,72.77778888888889,112.24364444444444,103.95373333333333,0.46307777777777775
8,DET,66.66666666666666,240.0,100.44444444444444,23.22222222222222,23.555555555555557,28.444444444444443,25.22222222222222,105.44444444444444,25.555555555555557,26.11111111111111,27.444444444444443,26.333333333333332,38.44444444444444,89.22222222222223,0.43244444444444446,10.444444444444445,32.55555555555556,0.32199999999999995,13.11111111111111,18.22222222222222,0.7364444444444445,11.444444444444445,31.88888888888889,43.333333333333336,21.444444444444443,7.666666666666667,4.888888888888889,11.11111111111111,21.88888888888889,28.0,0.5183111111111112,0.49084444444444447,1.1303444444444444,74.0,61.66665555555556,106.43475555555555,111.53106666666666,0.4331
9,EST,100.0,240.0,160.0,35.666666666666664,44.666666666666664,43.0,36.666666666666664,170.33333333333334,42.0,45.666666666666664,42.666666666666664,40.0,67.66666666666667,126.66666666666667,0.535,19.0,53.0,0.37166666666666665,5.666666666666667,7.666666666666667,0.7276666666666666,16.666666666666668,38.0,54.666666666666664,38.0,12.333333333333334,2.6666666666666665,20.333333333333332,10.333333333333334,48.666666666666664,0.6156333333333334,0.6094666666666666,1.2656,134.79166666666666,112.32636666666667,122.49823333333332,129.89513333333335,0.5208333333333334
