,teamAbbr,opptAbbr,rslt,teamMin,teamPTS,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptPTS,opptPTS1,opptPTS2,opptPTS3,opptPTS4,teamFGM,teamFGA,teamFG,team3PM,team3PA,team3PCT,teamFTM,teamFTA,teamFTC,teamORB,teamDRB,teamREB,teamAST,teamSTL,teamBLK,teamTO,teamPF,team2P,teamTS,teamEFG,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamPlay,opptMin,opptFGM,opptFGA,opptFG,oppt3PM,oppt3PA,oppt3PCT,opptFTM,opptFTA,opptFTC,opptORB,opptDRB,opptREB,opptAST,opptSTL,opptBLK,opptTO,opptPF,oppt2P,opptTS,opptEFG,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptPlay,poss,LM_totalPoint,LM_dayOffset,pace
14,ATL,MIA,50.0,245.76923076923077,99.3076923076923,24.53846153846154,26.615384615384617,23.384615384615383,23.53846153846154,102.15384615384616,24.307692307692307,26.692307692307693,23.46153846153846,25.923076923076923,36.76923076923077,81.23076923076923,0.4553846153846154,8.615384615384615,25.307692307692307,0.3343846153846154,17.153846153846153,21.46153846153846,0.8254615384615385,8.0,32.92307692307692,40.92307692307692,25.615384615384617,7.923076923076923,4.615384615384615,15.153846153846153,20.0,28.153846153846153,0.5502769230769231,0.5083615384615385,1.2292461538461539,76.02884615384616,62.26991538461539,103.92836153846154,106.82136153846153,0.4167384615384615,245.76923076923077,37.76923076923077,84.15384615384616,0.4506153846153846,9.615384615384615,25.307692307692307,0.3829230769230769,17.0,21.76923076923077,0.7813076923076923,10.23076923076923,33.0,43.23076923076923,23.846153846153847,8.0,3.8461538461538463,14.923076923076923,19.923076923076923,28.153846153846153,0.5464153846153846,0.5080846153846154,1.2207846153846154,76.66346153846153,62.74345384615385,106.82136153846153,103.92836153846154,0.4258999999999999,95.62516923076925,200.84615384615384,48.0,93.55432307692308
15,ATL,MIL,80.0,246.8181818181818,104.54545454545455,25.454545454545453,23.90909090909091,25.90909090909091,26.636363636363637,101.81818181818181,27.636363636363637,23.0,24.363636363636363,23.545454545454547,39.72727272727273,86.54545454545455,0.46181818181818185,9.727272727272727,30.363636363636363,0.324909090909091,15.363636363636363,19.636363636363637,0.7789090909090909,10.363636363636363,34.45454545454545,44.81818181818182,26.818181818181817,8.181818181818182,5.909090909090909,16.09090909090909,18.727272727272727,30.0,0.5524454545454546,0.5177909090909091,1.2218,83.93181818181819,67.94454545454545,106.32552727272724,103.17098181818182,0.4314,246.8181818181818,38.63636363636363,90.9090909090909,0.4275454545454545,7.545454545454546,23.727272727272727,0.3059090909090909,17.0,22.181818181818183,0.7652727272727273,14.272727272727273,33.63636363636363,47.90909090909091,23.90909090909091,9.636363636363637,4.636363636363637,14.181818181818182,20.636363636363637,31.09090909090909,0.5072090909090909,0.4681454545454545,1.125827272727273,78.5,63.34893636363636,103.17098181818182,106.32552727272724,0.4269454545454545,98.64819090909091,208.1818181818182,76.36363636363636,95.79683636363637
16,ATL,MIN,66.66666666666666,240.0,103.33333333333333,21.833333333333332,25.0,29.5,27.0,101.5,26.833333333333332,28.666666666666668,21.166666666666668,24.833333333333332,39.833333333333336,81.5,0.49066666666666664,9.333333333333334,24.166666666666668,0.399,14.333333333333334,19.333333333333332,0.7391666666666667,9.333333333333334,27.666666666666668,37.0,27.0,10.166666666666666,5.666666666666667,15.166666666666666,19.666666666666668,30.5,0.57535,0.5481333333333334,1.2716666666666667,82.875,69.0625,110.09770000000002,108.04441666666668,0.4563333333333333,240.0,38.166666666666664,79.5,0.4818333333333334,6.166666666666667,18.5,0.3456666666666666,19.0,23.0,0.8401666666666667,11.333333333333334,29.5,40.833333333333336,23.666666666666668,8.833333333333334,5.0,16.166666666666668,18.833333333333332,32.0,0.5670499999999999,0.5208666666666667,1.2820833333333332,78.625,65.52083333333333,108.04441666666668,110.09770000000002,0.4534666666666667,93.79135000000001,205.5,297.5,93.79135000000001
17,ATL,NJN,100.0,240.0,93.0,21.0,22.0,19.0,31.0,84.0,20.0,24.0,25.0,15.0,36.0,77.0,0.468,7.0,21.0,0.333,14.0,20.0,0.7,5.0,33.0,38.0,19.0,4.0,4.0,8.0,19.0,29.0,0.542,0.513,1.2078,67.0,55.8333,106.6176,96.2998,0.45,240.0,32.0,80.0,0.4,6.0,25.0,0.24,14.0,21.0,0.667,12.0,33.0,45.0,17.0,3.0,4.0,11.0,18.0,26.0,0.4706,0.4375,1.05,56.875,47.3958,96.2998,106.6176,0.4051,87.2276,207.0,74.0,87.2276
18,ATL,NOH,100.0,240.0,100.0,26.0,29.0,16.0,29.0,111.0,25.0,25.0,29.0,32.0,35.0,74.0,0.473,13.0,24.0,0.542,17.0,23.0,0.739,5.0,28.0,33.0,30.0,8.0,6.0,17.0,15.0,22.0,0.5944,0.5608,1.3514,81.375,67.8125,105.5864,117.2009,0.407,240.0,45.0,86.0,0.523,9.0,16.0,0.563,12.0,18.0,0.667,11.0,33.0,44.0,24.0,4.0,5.0,13.0,19.0,36.0,0.5909,0.5756,1.2907,86.0,71.6667,117.2009,105.5864,0.5114,94.7092,181.0,38.0,94.7092
19,ATL,NOP,66.66666666666666,240.0,99.0,21.833333333333332,27.166666666666668,23.5,26.5,98.0,22.0,25.166666666666668,21.5,29.333333333333332,37.333333333333336,82.0,0.45533333333333337,7.833333333333333,23.333333333333332,0.33616666666666667,16.5,21.5,0.7508333333333334,10.166666666666666,33.666666666666664,43.833333333333336,24.166666666666668,7.0,5.833333333333333,17.0,19.833333333333332,29.5,0.5420166666666667,0.5029333333333333,1.21045,74.9375,62.447916666666664,102.87221666666669,101.65955000000001,0.42024999999999996,240.0,36.166666666666664,82.5,0.44016666666666665,8.666666666666666,23.166666666666668,0.36500000000000005,17.0,22.333333333333332,0.7651666666666666,9.166666666666666,32.333333333333336,41.5,21.666666666666668,10.0,4.166666666666667,14.5,23.0,27.5,0.5323333333333334,0.49235000000000007,1.1998833333333334,71.0,59.16668333333333,101.65955000000001,102.87221666666669,0.41314999999999996,96.34663333333333,204.33333333333334,113.0,96.34663333333333
20,ATL,NYK,50.0,251.36363636363637,105.9090909090909,24.272727272727273,26.0,25.181818181818183,25.454545454545453,103.72727272727273,28.454545454545453,26.636363636363637,20.545454545454547,23.727272727272727,38.36363636363637,84.54545454545455,0.4572727272727273,9.909090909090908,27.09090909090909,0.36236363636363633,19.272727272727273,25.90909090909091,0.7362727272727271,10.727272727272727,32.0,42.72727272727273,23.545454545454547,7.454545454545454,4.181818181818182,12.818181818181818,18.545454545454547,28.454545454545453,0.5562727272727273,0.5175090909090909,1.2642,80.60227272727273,64.31266363636364,111.09898181818181,108.97751818181818,0.44273636363636365,251.36363636363637,39.81818181818182,86.36363636363636,0.46627272727272734,9.545454545454545,26.0,0.3723636363636364,14.545454545454545,19.454545454545453,0.738909090909091,10.454545454545455,32.72727272727273,43.18181818181818,22.90909090909091,7.909090909090909,5.181818181818182,13.727272727272727,23.0,30.272727272727273,0.5507727272727273,0.5212818181818182,1.2137545454545455,77.43181818181819,61.66894545454545,108.97751818181818,111.09898181818181,0.446809090909091,95.45132727272727,200.27272727272728,84.54545454545455,91.07051818181819
21,ATL,OKC,50.0,240.0,98.16666666666667,23.833333333333332,24.166666666666668,24.833333333333332,25.333333333333332,97.66666666666667,23.666666666666668,27.0,25.333333333333332,21.666666666666668,36.166666666666664,86.0,0.42183333333333334,8.833333333333334,23.666666666666668,0.3778333333333333,17.0,21.833333333333332,0.7928333333333334,11.333333333333334,32.666666666666664,44.0,23.666666666666668,9.666666666666666,4.833333333333333,14.0,19.166666666666668,27.333333333333332,0.5152,0.47323333333333334,1.1469833333333332,75.89583333333333,63.24651666666667,102.87806666666665,102.13225,0.40820000000000006,240.0,35.666666666666664,83.83333333333333,0.42616666666666664,7.666666666666667,23.666666666666668,0.31983333333333336,18.666666666666668,24.166666666666668,0.7743333333333333,10.5,35.0,45.5,21.0,8.5,8.166666666666666,15.5,20.0,28.0,0.5177166666666666,0.47184999999999994,1.1695166666666668,74.64583333333333,62.20485,102.13225,102.87806666666665,0.4010666666666667,95.61541666666666,210.83333333333334,290.5,95.61541666666666
22,ATL,ORL,70.0,242.27272727272728,98.18181818181819,27.818181818181817,21.818181818181817,24.636363636363637,23.09090909090909,93.18181818181819,23.09090909090909,20.545454545454547,24.181818181818183,23.90909090909091,37.0,82.36363636363636,0.44827272727272727,8.909090909090908,24.363636363636363,0.3657272727272728,15.272727272727273,20.454545454545453,0.7353636363636364,8.454545454545455,35.54545454545455,44.0,25.727272727272727,9.090909090909092,4.454545454545454,14.909090909090908,17.09090909090909,28.09090909090909,0.537290909090909,0.5026636363636363,1.194509090909091,79.67045454545455,65.74347272727272,102.8263,97.47970909090908,0.41552727272727275,242.27272727272728,36.0,83.45454545454545,0.4298181818181819,7.636363636363637,23.454545454545453,0.3215454545454545,13.545454545454545,19.181818181818183,0.6927272727272729,9.181818181818182,32.90909090909091,42.09090909090909,22.363636363636363,8.727272727272727,5.0,14.636363636363637,20.181818181818183,28.363636363636363,0.5056181818181819,0.4755545454545454,1.1136,68.625,56.41741818181818,97.47970909090908,102.8263,0.40322727272727277,95.45378181818182,195.63636363636363,94.36363636363636,94.5494909090909
23,ATL,PHI,90.0,240.0,108.25,26.583333333333332,29.333333333333332,26.666666666666668,25.666666666666668,100.08333333333333,26.0,27.0,24.416666666666668,22.666666666666668,41.166666666666664,85.25,0.4831666666666667,9.583333333333334,27.0,0.36000000000000004,16.333333333333332,22.75,0.7053333333333333,10.25,34.0,44.25,25.916666666666668,7.75,4.916666666666667,13.5,18.583333333333332,31.583333333333332,0.5681499999999999,0.5387083333333333,1.2730583333333334,87.32291666666667,72.76910833333334,111.96814166666667,103.77244166666667,0.4634416666666667,240.0,37.5,82.91666666666667,0.45199999999999996,9.166666666666666,24.083333333333332,0.38691666666666663,15.916666666666666,22.75,0.6940000000000001,10.916666666666666,31.916666666666668,42.833333333333336,23.583333333333332,8.416666666666666,4.333333333333333,15.75,20.666666666666668,28.333333333333332,0.5379083333333333,0.507825,1.2061,74.46875,62.05729166666668,103.77244166666667,111.96814166666667,0.4280583333333334,96.3273,204.33333333333334,93.33333333333333,96.3273
