,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0,,,,,,,,,,,,,,,,,,,,
1,100.7660,209.0,304.0,100.766,,,,,,,,,,,,,,,,,
2,101.1788,195.0,13.0,101.1788,,,,,,,,,,,,,,,,,
3,240,36.0,85.75,0.42025,9.25,27.5,0.33525,15.0,20.75,0.6975,12.5,33.5,46.0,18.0,6.75,3.0,12.25,18.5,26.75,0.503575,0.473525
4,80.4680,181.0,28.0,80.468,,,,,,,,,,,,,,,,,
5,87.6842,212.0,474.0,87.6842,,,,,,,,,,,,,,,,,
6,88.5354,181.0,11.0,88.5354,,,,,,,,,,,,,,,,,
7,89.1600,210.0,215.0,89.16,,,,,,,,,,,,,,,,,
8,89.9937,192.0,73.0,89.9937,,,,,,,,,,,,,,,,,
9,90.7177,220.0,46.0,90.7177,,,,,,,,,,,,,,,,,
10,91.0368,225.0,27.0,91.0368,,,,,,,,,,,,,,,,,
11,94.6320,204.0,78.0,94.632,,,,,,,,,,,,,,,,,
12,97.6769,226.0,369.0,97.6769,,,,,,,,,,,,,,,,,
13,AJ Hammons,11.5,0.5,2.5,0.07150000000000001,0.0,0.25,0.0,0.5,1.0,0.25,0.5,1.75,2.25,0.5,0.0,0.5,1.0,1.25,1.5,-10.0
14,AJ Price,4.5,0.75,2.5,0.20825,0.0,1.0,0.0,0.0,0.25,0.0,0.75,0.25,1.0,0.25,0.0,0.0,0.5,0.0,1.5,-2.25
15,Aaron Brooks,0.5,0.5,0.75,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,Aaron Craft,20.0,2.0,3.5,0.5415,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.5,1.0,5.0,2.5
17,Aaron Gordon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Aaron Gray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Aaron Harrison,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.5
20,Aaron Holiday,0.5,0.25,0.5,0.125,0.25,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
21,Aaron Jackson,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.125,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,-1.0
22,Abdel Nader,2.25,0.5,0.75,0.5,0.0,0.25,0.0,0.5,0.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,1.5,-0.25
23,Abdul Gaddy,9.5,0.5,2.5,0.125,0.5,2.0,0.125,0.5,1.0,0.25,0.0,1.5,1.5,2.5,1.0,0.0,0.0,0.5,2.0,0.0
24,Adonis Thomas,5.25,1.0,2.0,0.375,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.5,0.25,2.0,-0.5
25,Adreian Payne,3.5,0.25,0.75,0.08324999999999999,0.0,0.25,0.0,0.5,0.5,0.25,0.0,0.5,0.5,0.0,0.25,0.0,0.0,1.0,1.0,-0.5
26,Al Harrington,2.0,0.25,0.5,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,-2.25
27,Al Horford,3.0,0.5,1.0,0.125,0.0,0.5,0.0,0.5,0.5,0.25,0.0,1.25,1.25,0.5,0.25,0.0,0.0,0.0,1.5,0.0
28,Al Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Al-Farouq Aminu,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25
30,Alan Anderson,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
31,Alan Williams,4.75,0.25,0.75,0.25,0.0,0.25,0.0,1.75,2.25,0.1945,0.25,1.5,1.75,0.25,0.25,0.0,0.25,1.0,2.25,2.0
32,Alec Burks,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
33,Alec Peters,9.0,1.0,3.0,0.2125,0.75,2.75,0.1875,0.75,0.75,0.25,0.25,1.5,1.75,0.5,0.0,0.0,0.0,0.25,3.5,3.0
34,Alex Abrines,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25
35,Alex Caruso,3.5,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.75
36,Alex Kirk,7.25,0.75,2.5,0.20825,0.0,0.0,0.0,1.0,1.0,0.25,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,2.5,-2.5
37,Alex Len,3.75,0.5,1.0,0.25,0.0,0.0,0.0,0.5,0.5,0.25,1.0,1.75,2.75,0.0,0.0,0.0,0.75,1.0,1.5,-4.5
38,Alex Poythress,1.75,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,-1.5
39,Alex Stepheson,2.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.5,-1.5
40,Alexey Shved,8.25,2.0,4.0,0.44175,0.25,1.25,0.08324999999999999,1.75,1.75,0.75,0.0,1.0,1.0,0.75,0.25,0.0,1.25,0.0,6.0,4.0
